model,accuracy,precision_forged_class,recall_forged_class,f1_forged_class,auc,far_forged_accepted_as_genuine,frr_genuine_rejected_as_forged,eer,eer_threshold,training_time_seconds,total_parameters,trainable_parameters,non_trainable_parameters
Custom_CNN,0.6828703703703703,0.6138328530259366,0.9861111111111112,0.7566607460035524,0.8138503086419753,0.013888888888888888,0.6203703703703703,0.25462962962962965,0.7341799736022949,224.3670756816864,422337,421889,448
MobileNetV2_Transfer,0.75,0.7903225806451613,0.6805555555555556,0.7313432835820896,0.8350694444444444,0.3194444444444444,0.18055555555555555,0.24537037037037035,0.45172250270843506,58.91125011444092,2422081,164097,2257984
ResNet50_Transfer,0.8217592592592593,0.9929078014184397,0.6481481481481481,0.7843137254901961,0.9808813443072701,0.35185185185185186,0.004629629629629629,0.07407407407407407,0.27248868346214294,117.88613510131836,24112513,524801,23587712
