model,accuracy,precision_forged_class,recall_forged_class,f1_forged_class,auc,far_forged_accepted_as_genuine,frr_genuine_rejected_as_forged,eer,eer_threshold,training_time_seconds,total_parameters,trainable_parameters,non_trainable_parameters,Grad-CAM Quality,SHAP Interpretability,Overall Finding
Custom_CNN,0.6828703703703703,0.6138328530259366,0.9861111111111112,0.7566607460035524,0.8138503086419753,0.013888888888888888,0.6203703703703703,0.25462962962962965,0.7341799736022949,224.3670756816864,422337,421889,448,Manual review required from Figure 5 and Figure 6,Manual review required from Figure 7 SHAP PDFs,best F1-score
MobileNetV2_FineTuned,0.7407407407407407,0.7549019607843137,0.7129629629629629,0.7333333333333333,0.8317043895747599,0.28703703703703703,0.23148148148148148,0.2569444444444444,0.47843071818351746,60.55695128440857,2422081,1674817,747264,Manual review required from Figure 5 and Figure 6,Manual review required from Figure 7 SHAP PDFs,lowest training time
ResNet50_FineTuned,0.7638888888888888,1.0,0.5277777777777778,0.6909090909090909,0.9845250342935528,0.4722222222222222,0.0,0.0648148148148148,0.19189777970314026,90.14591264724731,24112513,9443841,14668672,Manual review required from Figure 5 and Figure 6,Manual review required from Figure 7 SHAP PDFs,best AUC
