,model,precision,recall,f1-score,support
0,Custom_CNN,0.9647058823529412,0.37962962962962965,0.5448504983388704,216.0
1,Custom_CNN,0.6138328530259366,0.9861111111111112,0.7566607460035524,216.0
2,Custom_CNN,0.6828703703703703,0.6828703703703703,0.6828703703703703,0.6828703703703703
3,Custom_CNN,0.7892693676894389,0.6828703703703705,0.6507556221712114,432.0
4,Custom_CNN,0.7892693676894389,0.6828703703703703,0.6507556221712114,432.0
5,MobileNetV2_FineTuned,0.7280701754385965,0.7685185185185185,0.7477477477477478,216.0
6,MobileNetV2_FineTuned,0.7549019607843137,0.7129629629629629,0.7333333333333333,216.0
7,MobileNetV2_FineTuned,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407
8,MobileNetV2_FineTuned,0.7414860681114551,0.7407407407407407,0.7405405405405405,432.0
9,MobileNetV2_FineTuned,0.7414860681114551,0.7407407407407407,0.7405405405405405,432.0
10,ResNet50_FineTuned,0.6792452830188679,1.0,0.8089887640449438,216.0
11,ResNet50_FineTuned,1.0,0.5277777777777778,0.6909090909090909,216.0
12,ResNet50_FineTuned,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7638888888888888
13,ResNet50_FineTuned,0.8396226415094339,0.7638888888888888,0.7499489274770174,432.0
14,ResNet50_FineTuned,0.839622641509434,0.7638888888888888,0.7499489274770172,432.0
