model,accuracy,precision_forged_class,recall_forged_class,f1_forged_class,auc,far_forged_accepted_as_genuine,frr_genuine_rejected_as_forged,eer,eer_threshold,training_time_seconds,total_parameters,trainable_parameters,non_trainable_parameters
Custom_CNN,0.9606481481481481,1.0,0.9212962962962963,0.9590361445783132,1.0,0.0787037037037037,0.0,0.0,0.3749130666255951,94.70031094551086,422337,421889,448
MobileNetV2_FineTuned,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154,0.9686428326474622,0.5555555555555556,0.0,0.0949074074074074,0.011862064711749554,44.800487995147705,2422081,1674817,747264
ResNet50_FineTuned,0.9699074074074074,1.0,0.9398148148148148,0.9689737470167065,0.9999356995884773,0.06018518518518518,0.0,0.00462962962962964,0.056032516062259674,59.100818157196045,24112513,9443841,14668672
