model,epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
Custom_CNN,1,0.5334429740905762,0.5390594601631165,0.7384883165359497,0.5325506925582886,0.547149121761322,0.5,0.5416666269302368,0.6936658024787903,0.0,0.0,0.0010000000474974513
Custom_CNN,2,0.5751096606254578,0.6032060384750366,0.6766255497932434,0.5723336935043335,0.594298243522644,0.5,0.6253526210784912,0.6952517032623291,0.0,0.0,0.0010000000474974513
Custom_CNN,3,0.6167762875556946,0.6736441850662231,0.6451544761657715,0.609680712223053,0.6491228342056274,0.5026041865348816,0.60888671875,0.6918491721153259,0.5013054609298706,1.0,0.0010000000474974513
Custom_CNN,4,0.6332237124443054,0.6797662377357483,0.6400092840194702,0.6372881531715393,0.6184210777282715,0.5,0.5901285409927368,0.6924970746040344,0.5,1.0,0.0010000000474974513
Custom_CNN,5,0.640350878238678,0.6983086466789246,0.6296780705451965,0.6382289528846741,0.6480262875556946,0.5,0.5222981572151184,0.698272705078125,0.0,0.0,0.0010000000474974513
Custom_CNN,6,0.6737938523292542,0.7357504367828369,0.6061041951179504,0.6739846467971802,0.6732456088066101,0.5833333134651184,0.6175673007965088,0.6828277707099915,0.7962962985038757,0.2239583283662796,0.0003000000142492354
Custom_CNN,7,0.6677631735801697,0.7263335585594177,0.6063500642776489,0.6561224460601807,0.7050438523292542,0.6067708134651184,0.7432048320770264,0.6592293977737427,0.7662337422370911,0.3072916567325592,0.0003000000142492354
Custom_CNN,8,0.6798245906829834,0.7538388967514038,0.5803859829902649,0.6687242984771729,0.7127193212509155,0.5598958134651184,0.6258002519607544,0.6651296615600586,0.5589743852615356,0.5677083134651184,0.0003000000142492354
Custom_CNN,9,0.7088815569877625,0.7709397673606873,0.5768997669219971,0.7046186923980713,0.719298243522644,0.5338541865348816,0.5147433280944824,1.156348705291748,0.8095238208770752,0.0885416641831398,0.0003000000142492354
Custom_CNN,10,0.7330043911933899,0.7905401587486267,0.5501487255096436,0.7069133520126343,0.7960526347160339,0.6536458134651184,0.7418212890625,0.6094709038734436,0.7062937021255493,0.5260416865348816,9.000000136438757e-05
Custom_CNN,11,0.718201756477356,0.795091986656189,0.5473592281341553,0.7103593945503235,0.7368420958518982,0.6953125,0.7661404013633728,0.6042062640190125,0.6415094137191772,0.8854166865348816,9.000000136438757e-05
Custom_CNN,12,0.7154605388641357,0.7832096815109253,0.5610921382904053,0.7011259198188782,0.7510964870452881,0.6588541865348816,0.7710639238357544,0.5816466212272644,0.7046979665756226,0.546875,9.000000136438757e-05
Custom_CNN,13,0.7362938523292542,0.8068972826004028,0.5359308123588562,0.7201225757598877,0.7730262875556946,0.65625,0.7794460654258728,0.6012448072433472,0.7586206793785095,0.4583333432674408,9.000000136438757e-05
